expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times,block_type,current_medium_coherence,current_medium_distance,final_low_coherence,final_high_coherence,final_low_distance,final_high_distance
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,1,0.3,medium,20,medium,312.0,332.0,0.743032571348731,CW,CW,True,blue,blue,24.41886890004389,None,None,None,None,None,coherence,0.3,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,2,0.3,medium,20,medium,317.0,337.0,0.6677574020073996,CW,CCW,False,blue,orange,28.707395000150427,None,None,None,None,None,coherence,0.31,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,3,0.31,medium,20,medium,115.0,95.0,0.5616320913643207,CCW,CCW,True,blue,blue,33.23762770020403,None,None,None,None,None,coherence,0.31,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,4,0.31,medium,20,medium,352.0,332.0,0.6174395895076141,CCW,CCW,True,orange,orange,37.67644070019014,None,None,None,None,None,coherence,0.3,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,5,0.15,low,40.0,high,291.0,251.0,0.6225485729115279,CCW,CCW,True,orange,orange,41.92988820001483,None,None,None,None,None,distance,0.3,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,6,0.6,high,10.0,low,125.0,135.0,0.6781180395205164,CW,CW,True,orange,orange,46.4082730000373,None,None,None,None,None,distance,0.3,19,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,7,0.6,high,9.5,low,20.0,10.5,0.755831264773952,CCW,CCW,True,blue,blue,50.84937540022656,None,None,None,None,None,distance,0.3,19,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,8,0.15,low,38.0,high,12.0,50.0,0.7721427095968487,CW,CCW,False,orange,blue,55.549383600009605,None,None,None,None,None,distance,0.3,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,9,0.3,medium,20,medium,291.0,271.0,0.5897144705078275,CCW,CCW,True,orange,orange,59.74119990016334,None,None,None,None,None,coherence,0.3,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,10,0.3,medium,20,medium,148.0,168.0,0.6578854100699779,CW,CW,True,orange,orange,64.07128490018658,None,None,None,None,None,coherence,0.29,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,11,0.29,medium,20,medium,82.0,102.0,0.5078711957149067,CW,CW,True,orange,orange,128.1831840001978,None,None,None,None,None,coherence,0.29,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,12,0.29,medium,20,medium,342.0,322.0,0.7585332362583941,CCW,CCW,True,orange,orange,132.823319000192,None,None,None,None,None,coherence,0.27999999999999997,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,13,0.5599999999999999,high,10.0,low,291.0,281.0,0.4727600269745786,CCW,CCW,True,orange,orange,136.8513571000658,None,None,None,None,None,distance,0.27999999999999997,20,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,14,0.5599999999999999,high,10.0,low,144.0,154.0,0.5434313227925692,CW,CW,True,orange,orange,141.35934480000287,None,None,None,None,None,distance,0.27999999999999997,19,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,15,0.13999999999999999,low,38.0,high,297.0,335.0,0.6172420927966683,CW,CW,True,blue,blue,145.66513150022365,None,None,None,None,None,distance,0.27999999999999997,19,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,16,0.13999999999999999,low,38.0,high,197.0,159.0,0.5109655117400785,CCW,CCW,True,blue,blue,150.01065120007843,None,None,None,None,None,distance,0.27999999999999997,18,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,17,0.27999999999999997,medium,18,medium,277.0,259.0,0.7615769145855663,CCW,CCW,True,orange,orange,154.44184790016152,None,None,None,None,None,coherence,0.27999999999999997,18,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h45.30.950,2025-01-30 11:45:49,None,None,999,,,18,0.27999999999999997,medium,18,medium,305.0,287.0,0.5167185590751233,CCW,CCW,True,orange,orange,158.6575118000619,None,None,None,None,None,coherence,0.26999999999999996,18,None,None,None,None
