expName,curec_ID,session_nr,date,start_time,end_time,participant,age,gender,trial_count,coherence,distance,direction,reference_direction,response,response_time,confidence_rating,confidence_response_time,low_coherence,high_coherence,low_distance,high_distance
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,1,0.3,20,114.06,CCW,CW,7.876772700052243,80,1.017669916152954,0.155,0.62,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,2,0.31,20,67.24,CCW,CCW,14.249110700038727,None,None,0.155,0.62,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,3,0.31,20,121.43,CCW,CW,17.982370000041556,90,0.9319021701812744,0.16,0.64,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,4,0.32,20,311.89,CCW,CCW,24.035684800008312,100,0.6891889572143555,0.16,0.64,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,5,0.32,20,212.66,CW,CW,29.938672000018414,None,None,0.155,0.62,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,6,0.31,20,208.57,CCW,CW,33.74987560004229,None,None,0.16,0.64,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,7,0.32,20,25.18,CCW,CCW,37.40754600003129,100,0.7553114891052246,0.16,0.64,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,8,0.32,20,223.0,CCW,CW,43.567613999999594,90,4.178607940673828,0.165,0.66,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,9,0.33,20,134.6,CCW,CW,52.97739080002066,90,1.27846360206604,0.17,0.68,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,10,0.34,20,209.59,CW,CW,59.51451820001239,90,3.2026760578155518,0.17,0.68,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,1,0.17,40,98.19,CW,CW,68.40054340002825,60,2.1369030475616455,0.17,0.68,9.5,38
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,2,0.68,9.5,95.73,CW,CW,76.15199390001362,None,None,0.17,0.68,9.5,38
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,3,0.68,9.5,92.95,CW,CW,80.03241670003626,None,None,0.17,0.68,9.0,36
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,4,0.17,36,39.89,CCW,CCW,84.08399070001906,60,0.6872880458831787,0.17,0.68,9.0,36
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,5,0.68,9.0,277.82,CCW,CW,90.27379680000013,80,1.8843185901641846,0.17,0.68,9.5,38
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,6,0.17,38,325.07,CW,CCW,98.06957200000761,None,None,0.17,0.68,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,7,0.17,40,122.06,CCW,CCW,101.57706750003854,None,None,0.17,0.68,10.0,40
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,8,0.68,10.0,215.63,CCW,CW,105.38882670004386,None,None,0.17,0.68,10.5,42
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,9,0.68,10.5,287.46,CCW,CW,109.03660270001274,None,None,0.17,0.68,11.0,44
confidence-pgACC-TUS-staircase,R88533/RE002,0,2024-08-28_13h32.51.549,2024-08-28 13:32:53,None,999,,,10,0.17,44,136.95,CW,CCW,113.1539670000202,90,1.2236313819885254,0.17,0.68,11.5,46
