expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times,bonus_payment
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,1,0.58,high,32.0,high,103.0,71.0,0.5751435682751656,CCW,CCW,True,blue,blue,16.255715999985114,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,2,0.58,high,32.0,high,146.0,178.0,0.7177003684500256,CW,CW,True,orange,orange,20.79798820009455,60,65,0.9735,60|65,0.0|0.6567,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,3,0.145,low,8.0,low,4.0,12.0,0.6391053970561688,CW,CCW,False,orange,blue,27.321609999984503,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,4,0.145,low,8.0,low,167.0,159.0,0.7017816450890105,CCW,CCW,True,blue,blue,31.822735500056297,85,95,1.4939,85|90|95,0.0|1.2441|1.3948,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,5,0.58,high,8.0,low,12.0,20.0,0.788908663730151,CW,CCW,False,orange,blue,39.18680340005085,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,6,0.58,high,32.0,high,274.0,242.0,0.6401459169049908,CCW,CCW,True,orange,orange,43.553842100081965,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,7,0.145,low,8.0,low,76.0,68.0,0.5234625465376905,CCW,CW,False,blue,orange,47.84692419995554,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,8,0.145,low,32.0,high,22.0,54.0,0.6413505718122344,CW,CW,True,orange,orange,52.04105330002494,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,9,0.58,high,8.0,low,107.0,115.0,0.6325822550410237,CW,CCW,False,orange,blue,56.29208849999122,70,80,0.9016,70|75|80,0.0|0.5522|0.768,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,10,0.145,low,32.0,high,134.0,102.0,0.796411041114806,CCW,CW,False,blue,orange,122.92236520000733,95,90,1.0274,95|90,0.0|0.762,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,11,0.145,low,8.0,low,64.0,72.0,0.5276644568637465,CW,CW,True,orange,orange,129.03323659999296,85,60,1.3777,85|80|75|70|65|60,0.0|0.5274|0.6781|0.8437|0.9942|1.1442,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,12,0.145,low,32.0,high,221.0,189.0,0.5860646863489203,CCW,CW,False,orange,blue,135.8369535000529,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,13,0.145,low,32.0,high,107.0,139.0,0.6179049976503646,CW,CW,True,orange,orange,140.46859770012088,50,75,1.2791,50|55|60|65|70|75,0.0|0.5129|0.6785|0.8295|0.9964|1.1625,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,14,0.58,high,8.0,low,186.0,194.0,0.6857709953803158,CW,CCW,False,blue,orange,147.52050290000625,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,15,0.58,high,32.0,high,274.0,242.0,0.690042105244723,CCW,CCW,True,orange,orange,151.74265019991435,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,16,0.145,low,32.0,high,171.0,139.0,0.745991184000455,CCW,CW,False,blue,orange,157.0558055001311,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,17,0.58,high,32.0,high,349.0,21.0,0.5847016274070843,CW,CW,True,orange,orange,161.3540733999107,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,18,0.58,high,8.0,low,61.0,53.0,0.7986613082699261,CCW,CW,False,blue,orange,165.90736389998347,80,90,0.9723,80|85|90,0.0|0.6372|0.8534,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,19,0.145,low,8.0,low,303.0,311.0,0.4846742933871653,CW,CW,True,blue,blue,232.22479070001282,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,20,0.145,low,8.0,low,150.0,142.0,0.5408022642010248,CCW,CCW,True,blue,blue,236.65559519990347,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,21,0.58,high,32.0,high,287.0,255.0,0.5782993496827484,CCW,CCW,True,orange,orange,240.87830280000344,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,22,0.145,low,32.0,high,135.0,167.0,0.6698792227123647,CW,CCW,False,orange,blue,245.20974620012566,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,23,0.58,high,8.0,low,211.0,219.0,0.46910074804693114,CW,CCW,False,blue,orange,249.18323240010068,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,24,0.145,low,32.0,high,36.0,68.0,0.6069089217630717,CW,CW,True,orange,orange,253.29162889998406,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,25,0.58,high,32.0,high,343.0,15.0,0.7149649312387718,CW,CW,True,orange,orange,257.6490885000676,90,75,1.3036,90|85|80|75,0.0|0.8695|1.0201|1.1867,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,26,0.145,low,8.0,low,38.0,46.0,0.7399706080832217,CW,CCW,False,orange,blue,263.8727257999126,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,None,None,999,,,27,0.58,high,8.0,low,190.0,198.0,0.4397828927708618,CW,CCW,False,blue,orange,268.2089813000057,None,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h56.12.782,2025-01-30 11:56:22,2025-01-30 12:00:44,0:04:21.156664,999,,,28,0.58,high,8.0,low,167.0,159.0,0.5358058417469564,CCW,CW,False,blue,orange,272.637822000077,None,None,None,None,None,0.28
