eeg,expName,curec_ID,session_nr,date,start_time,end_time,participant,age,gender,trial_count,coherence,distance,direction,reference_direction,response,response_time
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,1,0.3,20,321.16,CCW,CCW,16.61074410000583
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,2,0.3,20,250.79,CW,CW,20.88775669998722
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,3,0.29,20,337.49,CW,CW,25.251662699971348
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,4,0.29,20,176.48,CW,CW,30.01900599995861
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,5,0.27999999999999997,20,243.42,CCW,CCW,34.18244509998476
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,6,0.27999999999999997,20,297.43,CCW,CCW,39.838415000005625
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,7,0.26999999999999996,20,77.56,CW,CCW,44.22623279999243
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,8,0.27999999999999997,20,237.51,CW,CW,48.74058529996546
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,1,0.5599999999999999,10.0,148.74,CW,CW,53.0968767000013
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,2,0.5599999999999999,9.5,163.11,CW,CW,57.255400399968494
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,3,0.13999999999999999,38,352.23,CW,CW,61.325582499965094
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,4,0.13999999999999999,36,50.61,CW,CW,66.01280369999586
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,5,0.13999999999999999,36,299.67,CW,CW,70.12885679997271
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,6,0.5599999999999999,8.5,60.39,CCW,CCW,74.4253897999879
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,7,0.5599999999999999,8.5,164.35,CW,CCW,79.17646649997914
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,8,0.5599999999999999,9.0,107.23,CCW,CCW,83.30791129998397
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,1,0.27999999999999997,18,6.42,CCW,CCW,87.80371680000098
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,2,0.26999999999999996,18,99.75,CCW,CCW,92.00974469998619
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,3,0.26999999999999996,18,277.56,CCW,CCW,96.60729849996278
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,4,0.25999999999999995,18,222.45,CCW,CCW,101.07108109997353
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,5,0.25999999999999995,18,16.79,CW,CW,105.13255109998863
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,6,0.24999999999999994,18,171.03,CCW,CCW,110.1964301999542
n,confidence-pgACC-TUS,R88533/RE002,1,2024-08-29_16h40.42.554,2024-08-29 16:41:28,2024-08-29 16:40:46,999,,,7,0.24999999999999994,18,53.26,CW,CCW,115.57504649995826
