eeg,expName,curec_ID,session_nr,date,start_time,end_time,participant,age,gender,trial_count,coherence,distance,direction,reference_direction,response,response_time
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,1,0.5,30,248.43,CCW,CCW,17.107216500036884
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,2,0.5,30,84.87,CCW,CCW,22.1763044000254
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,3,0.5,30,126.3,CCW,CCW,27.201384700019844
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,4,0.5,30,183.28,CCW,CCW,32.671517200011294
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,5,0.5,30,22.17,CW,CW,37.85793100000592
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,6,0.5,30,303.84,CCW,CCW,43.16755710000871
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,7,0.5,30,94.4,CW,CW,49.28463399998145
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,8,0.5,30,238.95,CW,CW,54.48308780003572
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,9,0.5,30,120.74,CCW,CCW,59.65243090002332
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,10,0.5,30,28.1,CW,CW,65.14179700001841
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,11,0.5,30,37.02,CW,CW,70.17960869998205
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,12,0.5,30,147.88,CCW,CCW,75.44540249998681
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,13,0.5,30,214.5,CCW,CW,81.74709489999805
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,14,0.5,30,103.85,CW,CW,87.34982529998524
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,15,0.5,30,336.35,CCW,CCW,92.93333179998444
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,16,0.5,30,41.08,CW,CW,97.84449250000762
n,confidence-pgACC-TUS,R88533/RE002,0,2024-08-30_10h03.37.001,2024-08-30 10:03:44,None,999,,,17,0.5,30,240.0,CCW,CW,104.3029618000146
