expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_rating,confidence_response_time
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,1,0.5,low,50,high,194.0,244.0,0.7659280430329276,CW,CW,True,blue,blue,265.07729200000176,80,1.2990028858184814
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,2,0.7,high,50,high,246.0,296.0,0.765773507243732,CW,CW,True,blue,blue,272.76220709999325,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,3,0.7,high,50,high,38.0,348.0,0.32364623028546613,CCW,CCW,True,orange,orange,278.33038869994925,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,4,0.7,high,30,low,70.0,40.0,0.31686624651160467,CCW,CCW,True,blue,blue,283.4067032999592,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,5,0.7,high,30,low,79.0,109.0,0.6897442710166682,CW,CW,True,orange,orange,288.7995573999942,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,6,0.7,high,50,high,81.0,131.0,0.6273794719165904,CW,CW,True,orange,orange,294.4794027999742,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,7,0.7,high,50,high,354.0,304.0,0.471639603429662,CCW,CCW,True,orange,orange,300.021162799967,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,8,0.7,high,30,low,40.0,10.0,0.45395909481743735,CCW,CCW,True,blue,blue,305.44686059997184,70,1.584838628768921
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,9,0.7,high,50,high,188.0,238.0,0.4154091290496204,CW,CW,True,blue,blue,313.20855339994887,70,1.6521873474121094
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,10,0.7,high,50,high,273.0,223.0,0.7768865323669223,CCW,CCW,True,orange,orange,320.9947589999647,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,11,0.5,low,30,low,161.0,191.0,0.32955025316098285,CW,CW,True,blue,blue,326.2560360999778,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,12,0.5,low,50,high,242.0,292.0,0.5610674728716685,CW,CW,True,blue,blue,331.54158729995834,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,13,0.7,high,50,high,143.0,193.0,0.7791426419316794,CW,CW,True,blue,blue,337.3598766999785,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,14,0.7,high,30,low,88.0,118.0,0.7166644886150033,CW,CW,True,orange,orange,343.37268529995345,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,15,0.7,high,30,low,90.0,60.0,0.5175448547587553,CCW,CCW,True,blue,blue,348.71981059998507,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,16,0.7,high,50,high,109.0,59.0,0.39728582487761943,CCW,CCW,True,blue,blue,354.04371070000343,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,17,0.7,high,50,high,330.0,280.0,0.719202544022758,CCW,CCW,True,orange,orange,359.53530329995556,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,18,0.7,high,30,low,312.0,342.0,0.7460178048145969,CW,CW,True,blue,blue,365.0520575999981,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,None,None,999,,,19,0.7,high,30,low,6.0,36.0,0.6346065737603639,CW,CCW,False,orange,blue,370.5818870999501,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-21_17h19.42.526,2025-01-21 17:19:48,2025-01-21 17:21:45,0:01:56.670178,999,,,20,0.7,high,30,low,298.0,268.0,0.6436615435495262,CCW,CCW,True,orange,orange,376.00463569996646,None,None
